"Gemeente","statcode","Week 11","Week 12","Week 13","Week 14"
"Nuenen, Gerwen en Nederwetten","GM0820","0.75","0.50","2.50","2.00"
"Oirschot","GM0823","0.93","0.70","1.63","1.16"
"Oisterwijk","GM0824","0.68","1.02","1.86","0.68"
"Oosterhout","GM0826","0.73","0.65","1.30","1.14"
"Oss","GM0828","0.91","1.46","2.74","3.41"
"Rucphen","GM0840","0.85","0.85","1.91","1.49"
"Sint-Michielsgestel","GM0845","1.23","2.46","2.28","2.46"
"Someren","GM0847","1.78","1.56","0.89","3.56"
"Son en Breugel","GM0848","1.86","1.16","0.47","1.16"
"Steenbergen","GM0851","0.43","0.85","1.06","1.06"
"Waterland","GM0852","1.58","1.05","0.79","0.53"
"Tilburg","GM0855","1.00","2.22","2.68","2.71"
"Uden","GM0856","2.10","2.90","6.77","6.13"
"Valkenswaard","GM0858","1.08","0.95","1.62","3.38"
"Veldhoven","GM0861","0.67","2.17","2.17","1.83"
"Vught","GM0865","1.34","1.64","1.04","1.19"
"Waalre","GM0866","0.93","1.63","0.70","0.93"
"Waalwijk","GM0867","0.78","1.17","2.72","1.65"
"Woensdrecht","GM0873","0.92","0.92","1.38","0.92"
"Zundert","GM0879","1.96","0.98","1.76","2.35"
"Wormerland","GM0880","0.90","0.90","1.20","0.90"
"Landgraaf","GM0882","1.14","1.14","1.70","2.27"
"Beek (L.)","GM0888","0.63","0.21","1.25","0.63"
"Beesel","GM0889","1.04","0.70","2.09","1.74"
"Bergen (L.)","GM0893","1.58","1.05","0.53","2.11"
"Brunssum","GM0899","1.03","0.90","1.92","1.28"
"Gennep","GM0907","1.09","0.82","2.45","2.73"
"Heerlen","GM0917","1.46","1.42","2.17","2.12"
"Kerkrade","GM0928","1.29","1.08","2.45","2.01"
"Maastricht","GM0935","1.17","1.34","1.62","1.94"
"Meerssen","GM0938","0.75","2.45","1.13","2.08"
"Mook en Middelaar","GM0944","0.78","0.78","3.11","3.89"
"Nederweert","GM0946","0.93","1.55","3.41","2.48"
"Roermond","GM0957","0.97","0.97","1.49","1.64"
"Simpelveld","GM0965","0.95","0.48","0.48","2.38"
"Stein (L.)","GM0971","0.46","0.62","1.38","3.38"
