" ","Week 11","Week 12","Week 13","Week 14"
"Zoeterwoude","0.44","0.44","1.31","0.44"
"Zwijndrecht","0.78","0.95","0.78","0.86"
"Borsele","1.13","0.38","1.50","2.25"
"Goes","0.56","2.70","0.90","1.35"
"West Maas en Waal","0.53","1.32","2.89","1.58"
"Hulst","1.13","0.81","1.13","1.29"
"Kapelle","1.39","0.70","1.04","0.70"
"Middelburg (Z.)","0.92","1.12","1.02","0.92"
"Reimerswaal","1.67","1.39","0.83","1.39"
"Terneuzen","0.93","0.53","0.79","0.93"
"Tholen","0.91","1.45","0.73","2.18"
"Veere","1.32","0.79","1.32","0.26"
"Vlissingen","1.03","1.03","1.12","0.84"
"De Ronde Venen","1.30","1.01","1.01","0.87"
"Tytsjerksteradiel","2.18","2.73","1.27","1.09"
"Asten","1.96","1.57","1.96","3.52"
"Baarle-Nassau","1.20","2.40","1.80","2.40"
"Bergen op Zoom","0.96","1.10","0.81","0.88"
"Best","0.92","0.77","1.54","0.62"
"Boekel","2.12","1.06","7.41","3.71"
"Boxmeer","0.78","1.96","1.76","1.96"
"Boxtel","1.45","1.94","3.06","3.06"
"Breda","1.33","1.33","1.47","1.44"
"Deurne","0.45","2.09","1.49","2.09"
"Pekela","0.33","0.33","0.33","1.00"
"Dongen","1.11","0.89","2.22","4.44"
"Eersel","1.58","1.05","0.79","1.32"
"Eindhoven","1.10","1.17","1.71","1.56"
"Etten-Leur","1.46","0.85","2.32","2.56"
"Geertruidenberg","0.43","1.30","1.30","0.87"
"Gilze en Rijen","0.65","0.43","1.52","1.96"
"Goirle","0.57","0.75","2.64","1.70"
"Grave","1.67","0.83","2.08","6.25"
"Haaren","1.61","1.61","2.26","0.00"
"Helmond","0.97","1.70","1.82","2.48"
"'s-Hertogenbosch","1.57","1.57","1.97","2.87"
"Heusden","0.71","1.43","2.02","0.95"
"Hilvarenbeek","1.35","0.90","1.35","2.25"
"Loon op Zand","0.87","1.52","1.09","1.09"
"Mill en Sint Hubert","1.40","0.47","0.00","3.27"
"Nuenen, Gerwen en Nederwetten","0.75","0.50","2.50","2.00"
"Oirschot","0.93","0.70","1.63","1.16"
"Oisterwijk","0.68","1.02","1.86","0.68"
"Oosterhout","0.73","0.65","1.30","1.14"
"Oss","0.91","1.46","2.74","3.41"
"Rucphen","0.85","0.85","1.91","1.49"
"Sint-Michielsgestel","1.23","2.46","2.28","2.46"
"Someren","1.78","1.56","0.89","3.56"
"Son en Breugel","1.86","1.16","0.47","1.16"
"Steenbergen","0.43","0.85","1.06","1.06"
"Waterland","1.58","1.05","0.79","0.53"
"Tilburg","1.00","2.22","2.68","2.71"
"Uden","2.10","2.90","6.77","6.13"
"Valkenswaard","1.08","0.95","1.62","3.38"
"Veldhoven","0.67","2.17","2.17","1.83"
"Vught","1.34","1.64","1.04","1.19"
"Waalre","0.93","1.63","0.70","0.93"
"Waalwijk","0.78","1.17","2.72","1.65"
"Woensdrecht","0.92","0.92","1.38","0.92"
"Zundert","1.96","0.98","1.76","2.35"
"Wormerland","0.90","0.90","1.20","0.90"
"Landgraaf","1.14","1.14","1.70","2.27"
"Beek (L.)","0.63","0.21","1.25","0.63"
"Beesel","1.04","0.70","2.09","1.74"
"Bergen (L.)","1.58","1.05","0.53","2.11"
"Brunssum","1.03","0.90","1.92","1.28"
"Gennep","1.09","0.82","2.45","2.73"
"Heerlen","1.46","1.42","2.17","2.12"
"Kerkrade","1.29","1.08","2.45","2.01"
"Maastricht","1.17","1.34","1.62","1.94"
"Meerssen","0.75","2.45","1.13","2.08"
"Mook en Middelaar","0.78","0.78","3.11","3.89"
"Nederweert","0.93","1.55","3.41","2.48"
"Roermond","0.97","0.97","1.49","1.64"
"Simpelveld","0.95","0.48","0.48","2.38"
"Stein (L.)","0.46","0.62","1.38","3.38"
"Vaals","1.11","0.74","1.11","1.85"
"Venlo","1.29","1.80","2.08","2.36"
"Venray","1.71","0.92","1.45","2.11"
"Voerendaal","1.16","2.03","2.03","1.74"
"Weert","1.08","0.83","1.50","1.67"
"Valkenburg aan de Geul","1.28","0.85","0.43","2.13"
"Lelystad","0.99","0.84","0.84","1.15"
"Horst aan de Maas","1.04","1.95","3.51","2.99"
"Oude IJsselstreek","1.06","1.28","0.64","1.70"
"Teylingen","0.70","0.56","0.85","0.99"
"Utrechtse Heuvelrug","0.63","1.17","0.63","1.25"
"Oost Gelre","0.49","1.64","1.31","1.80"
"Koggenland","0.24","0.95","0.71","1.42"
"Lansingerland","0.51","0.64","0.90","2.56"
"Leudal","1.69","1.45","2.89","3.61"
"Maasgouw","1.15","1.31","1.97","2.30"
"Gemert-Bakel","2.13","2.55","4.26","1.70"
"Halderberge","1.25","1.72","1.25","1.41"
"Heeze-Leende","0.60","1.40","0.60","0.80"
"Laarbeek","1.25","1.00","4.25","3.25"
"Reusel-De Mierden","0.00","1.36","0.45","1.36"
"Roerdalen","0.48","0.95","1.90","2.62"
"Roosendaal","1.10","1.16","1.10","1.61"
"Schouwen-Duiveland","1.39","0.76","1.14","1.14"
"Aa en Hunze","1.25","1.25","1.04","0.83"
"Borger-Odoorn","1.15","0.77","1.15","0.96"
"Cuijk","0.39","1.76","1.96","2.94"
"Landerd","1.80","1.20","3.00","3.90"
"De Wolden","1.04","0.63","1.46","1.46"
"Noord-Beveland","2.00","1.00","1.00","0.50"
"Wijdemeren","1.02","1.22","0.82","1.02"
"Noordenveld","1.23","1.08","1.08","0.77"
"Twenterand","0.63","0.51","1.39","0.89"
"Westerveld","0.38","1.35","0.77","1.35"
"Sint Anthonis","2.18","1.09","2.55","2.18"
"Lingewaard","1.57","2.00","2.14","1.43"
"Cranendonck","0.83","1.88","2.50","3.75"
"Steenwijkerland","1.03","1.13","1.24","1.13"
"Moerdijk","1.10","1.37","0.96","1.37"
"Echt-Susteren","1.07","1.43","1.61","2.14"
"Sluis","0.68","1.36","1.36","1.53"
"Drimmelen","0.75","1.51","1.32","2.45"
"Bernheze","1.55","2.24","4.31","4.83"
"Alphen-Chaam","0.48","0.48","3.81","1.43"
"Bergeijk","0.79","2.11","1.32","1.58"
"Bladel","1.52","0.43","1.30","2.39"
"Gulpen-Wittem","0.38","0.77","1.15","1.15"
"Tynaarlo","0.74","1.05","0.95","0.32"
"Midden-Drenthe","0.83","0.83","1.39","1.11"
"Overbetuwe","0.63","1.00","1.75","1.63"
"Hof van Twente","0.93","1.40","0.58","1.16"
"Neder-Betuwe","0.26","0.77","1.03","2.82"
"Rijssen-Holten","1.13","0.70","0.85","1.27"
"Geldrop-Mierlo","1.17","1.04","1.04","1.95"
"Olst-Wijhe","1.11","1.11","2.00","1.78"
"Dinkelland","1.13","1.13","0.97","2.26"
"Westland","1.01","1.19","0.89","1.96"
"Midden-Delfland","0.77","1.15","1.54","0.38"
"Berkelland","0.71","1.31","1.31","1.31"
"Bronckhorst","1.29","0.86","1.71","2.14"
"Sittard-Geleen","0.79","1.31","1.35","2.10"
"Kaag en Braassem","2.06","1.47","0.88","1.47"
"Dantumadiel","0.00","1.28","1.03","2.05"
"Zuidplas","0.29","0.59","0.74","1.62"
"Peel en Maas","1.14","3.92","5.70","4.30"
"Oldambt","1.41","0.30","1.52","0.71"
"Zwartewaterland","0.58","2.03","2.61","4.06"
"Súdwest-Fryslân","1.03","1.27","1.52","0.85"
"Bodegraven-Reeuwijk","0.82","0.82","2.86","1.43"
"Eijsden-Margraten","0.83","0.63","1.67","2.92"
"Stichtse Vecht","0.91","0.83","1.40","1.07"
"Hollands Kroon","0.59","1.18","0.94","1.53"
"Leidschendam-Voorburg","0.75","0.62","1.30","0.96"
"Goeree-Overflakkee","1.86","0.93","1.24","2.27"
"Pijnacker-Nootdorp","0.75","0.75","1.31","2.25"
